openAccess_bool,domain_s,title_s,journalTitle_s,journalPublisher_s,journalEissn_s,authFullName_s,halId_s,submitType_s,docType_s,selfArchiving_bool,doiId_s,submittedDate_s,publicationDate_s,publicationDateY_i,journalIssn_s,licence_s
False,"['0.shs', '1.shs.socio', '0.shs', '1.shs.scipo', '0.shs', '1.shs.archi', '0.shs', '1.shs.anthro-se']",['Dans l’ombre de la décision\xa0: les fonctions multiples des rapports d’études dans la délégation marchande de l’expertise en politiques urbaines'],Revue internationale de politique comparée,De Boeck,1782-1533,['Nicolas Bataille'],hal-03007006,notice,ART,True,10.3917/ripc.264.0083,2020-11-16 11:00:20,2019,2019,1370-0731,
False,"['0.shs', '1.shs.archi']","[""Citizen as Sensors' Commitment in Urban Public Action""]",International Journal of E-Planning Research,,,"[""Gwendoline l'Her"", 'Myriam Servières', 'Daniel Siret']",hal-02320109,notice,ART,True,10.4018/IJEPR.2019100103,2019-10-18 14:35:54,2019-10,2019,2160-9918,
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.anthro-se']","['L’emprise des techniques\xa0? Penser l’expérience urbaine conditionnée à partir du cinéma', 'A technological hold? Thinking the conditioned urban experience from movies']","Les Cahiers de la recherche architecturale, urbaine et paysagère",Ministère de la Culture,2606-7498,"['Anne Bossé', 'Théo Fort-Jacques']",hal-02439177,file,ART,True,10.4000/craup.2966,2020-11-25 15:25:20,2019-12-20,2019,2606-7498,http://creativecommons.org/licenses/by-nc-nd/
False,"['0.shs', '1.shs.archi']","['Qui sont les Jeunes Ramau ? Trajectoires, profils et positionnements']",Cahiers RAMAU,Éditions de la Villette,,"['L. Brown', 'F. Gerbeaud', 'Théa Manola', ""Luna d'Emilio"", 'Y. Dris']",hal-03250005,notice,ART,False,,2021-06-04 14:25:49,2019,2019,1623-1333,
True,"['0.info', '1.info.info-gr']",['Consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store'],Journal of Retailing and Consumer Services,Elsevier,,"['Cindy Lombart', 'Elena Millan', 'Jean-Marie Normand', 'Adrien Verhulst', 'Blandine Labbé-Pinlon', 'Guillaume Moreau']",hal-01995916,file,ART,True,10.1016/j.jretconser.2019.01.010,2019-01-29 15:48:32,2019-05,2019,0969-6989,
True,"['0.shs', '1.shs.archi']",['Vers une climatique du littoral. Une ethnographie sensible au milieu ambiant'],VertigO : La Revue Électronique en Sciences de l'Environnement,VertigO,,['Jean-Paul Thibaud'],halshs-02181957,file,ART,False,,2021-06-01 11:33:05,2019,2019,1492-8442,
True,"['0.shs', '1.shs.archi', '0.phys', '1.phys.meca', '2.phys.meca.acou', '0.spi', '1.spi.acou', '0.sde', '1.sde.ie']",['Assessing Health Effects and Soundscape Analysis as New Mitigation Actions Concerning the Aircraft Noise Impact in Small- and Middle-Size Urban Areas in Greece'],Interactive Learning Environments,Taylor & Francis (Routledge),,"['Georgia Gerolymatou', 'Nicolas Rémy', 'Konstantinos Vogiatzis', 'Vassiliki Zafiropoulou']",halshs-01982869,file,ART,False,10.3390/environments6010004,2019-01-16 09:22:07,2019-01,2019,1049-4820,http://creativecommons.org/licenses/by/
False,"['0.shs', '1.shs.archi']","['Architectures des milieux hyper-conditionnés', 'Architectures of hyper-conditioned environments']",Les Cahiers de la recherche architecturale / Les Cahiers de la recherche architecturale et urbaine,Paris : Ed. du patrimoine,1296-4077,"['Daniel Siret', 'Ignacio Requena-Ruiz']",halshs-02423016,notice,ART,True,,2019-12-23 15:21:57,2019-12-23,2019,0150-9535,
False,"['0.shs', '1.shs.archi', '0.shs', '1.shs.socio']","[""Imaginer l'habitat périurbain de demain""]",Place Publique,,,['Kévin Chesnel'],hal-02473018,notice,ART,True,,2020-02-10 14:53:35,2019-10-10,2019,1955-6020,
False,"['0.shs', '0.scco']",['The situated function-behavior-structure co-design model'],CoDesign,Taylor & Francis,,"['John Gero', 'Julie Milovanovic']",hal-02273787,notice,ART,True,10.1080/15710882.2019.1654524,2019-08-29 11:34:20,2019-08-27,2019,1571-0882,
True,"['0.shs', '1.shs.archi']","['Envisioning ambiances: Representing (past,present and future) atmospheres for architecture and the built environment']",SHS Web of Conferences,EDP Sciences,,"['Laurent Lescop', 'Anetta Kępczyńska-Walczak']",hal-02288693,notice,ART,True,10.1051/shsconf/20196400002,2019-09-15 16:56:56,2019,2019,2261-2424,
True,"['0.info', '1.info.info-gr']",['A study on differences in human perception between a real and an AR scene viewed in an OST-HMD'],Journal of the Society for Information Display,Society for Information Display(AIP),,"['Yuan Gao', 'Yue Liu', 'Jean-Marie Normand', 'Guillaume Moreau', 'Xue Gao', 'Yongtian Wang']",hal-01987255,file,ART,True,10.1002/jsid.752,2019-01-21 08:27:47,2019-01-20,2019,1071-0922,
True,"['0.shs', '1.shs.phil', '0.shs', '1.shs.socio', '0.shs', '1.shs.archi']","[""De l'aura à l'atmosphère. Penser la dimension politique des paysages urbains avec Walter Benjamin""]",Cahiers Philosophiques de Strasbourg,Université de Strasbourg,,['Céline Bonicco-Donato'],hal-02397480,file,ART,True,10.4000/cps.3251,2019-12-06 15:22:40,2019-12,2019,1254-5740,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.socio', '0.shs', '1.shs.scipo', '0.shs', '1.shs.archi', '0.shs', '1.shs.anthro-se']",['Standardisation de la conception et sur mesure organisationnel : la sous-traitance de l’ingénierie urbaine'],Les Annales de la Recherche Urbaine,PUCA,,"['Nicolas Bataille', 'Guillaume Lacroix']",halshs-02103422,file,ART,True,10.3406/aru.2018.3270,2020-01-30 15:50:27,2019-03,2019,0180-930X,
True,"['0.shs', '1.shs.archi']","['Couleurs et paysages\xa0: une nouvelle approche de planification de la couleur par les effets chromatiques', 'Colors and landscapes\xa0: a new approach in color planning through chromatic effects']",VertigO : La Revue Électronique en Sciences de l'Environnement,VertigO,,"['Anne Petit', 'Daniel Siret', 'Nathalie Simonnot\xa0']",halshs-02294890,notice,ART,True,10.4000/vertigo.25106,2019-09-23 17:53:54,2018-12-05,2018,1492-8442,
False,['0.spi'],"['Fusion of 3D GIS, Vision, Inertial and Magnetic Data for Improved Urban Pedestrian Navigation and Augmented Reality Applications']",Navigation,Institute of Navigation,,"['Nicolas Antigny', 'Myriam Servieres', 'Valérie Renaudin']",hal-01896361,notice,ART,False,10.1002/navi.254,2018-10-16 09:53:21,2018-01-01,2018,0028-1522,
True,"['0.sde', '0.sde', '1.sde.es', '0.shs', '0.shs', '1.shs.archi']","['Représenter les temporalités\xa0: outils et méthodes pour saisir les phénomènes de vacance commerciale', 'Representing the temporalities: tools and methods to identify the phenomena of commercial vacancy']",Développement durable et territoires,Réseau « Développement durable et territoires fragiles »,1772-9971,['Sylvie Laroche'],hal-02474296,file,ART,True,10.4000/developpementdurable.12153,2021-06-10 08:37:24,2018-06-15,2018,1772-9971,http://creativecommons.org/licenses/by-nc/
True,"['0.shs', '1.shs.archi', '0.shs', '1.shs.archeo', '0.info', '1.info.info-mo']",['Survey and Photogrammetry: Retreiving and Modeling Lost Data'],Universum Humanitarium,Novosibirsk State University,,['Laurent Lescop'],hal-02288691,file,ART,True,,2020-03-23 17:21:21,2018,2018,,
True,"['0.shs', '1.shs.archi', '0.info', '1.info.info-mo', '0.info', '1.info.info-ia']",['Conditions of Satisfaction of the Solar Control Box Constraints'],Journal of Civil Engineering and Architecture,David Publishing Company,1934-7367,"['Khaoula Raboudi', 'Abdelkader Ben Saci']",hal-03249060,file,ART,True,10.17265/1934-7359/2018.10.001,2021-06-03 20:45:40,2018,2018,1934-7359,http://creativecommons.org/licenses/by-nc/
True,"['0.shs', '1.shs.archi', '0.sde', '1.sde.es', '0.shs', '1.shs.art']",['Habiter-Filmer. La Villeneuve de Grenoble'],La Furia Umana,Duen de Bux,,['Nicolas Tixier'],hal-01817052,file,ART,True,,2018-06-16 10:38:54,2018-06,2018,2255-2812,
True,"['0.shs', '1.shs.archi']",['Écosystème de représentations et apprentissage de la conception'],SHS Web of Conferences,EDP Sciences,,"['Julie Milovanovic', 'Daniel Siret', 'Guillaume Moreau', 'Francis Miguet']",hal-01916574,file,ART,True,10.1051/shsconf/20184701003,2018-11-08 15:43:53,2018,2018,2261-2424,
True,"['0.shs', '1.shs.anthro-se', '0.shs', '1.shs.archi']","[""La « Route de l'esclave » de Ouidah (Bénin) : espace de négociation des mémoires collectives des traites négrières et de l'esclavage""]",Cahiers Mémoire et Politique,Université de Liège,,['Rossila Goussanou'],hal-01826345,file,ART,True,,2018-06-29 12:28:31,2018,2018,2295-0311,http://creativecommons.org/licenses/by-nc-nd/
True,"['0.shs', '1.shs.archi']","['Une formation en urbanisme sans institut, and so what\xa0? Réflexion à partir d’un éternel horizon nantais', 'A learning program in Urban Planning but no Institute, so what? Consideration from an eternal horizon in Nantes']",Territoire en mouvement.Revue de Géographie et d'Aménagement,Université des Sciences et Technologies de Lille,1950-5698,"['Hélène Dang\xa0vu', 'Laurent Devisme']",hal-02426685,file,ART,True,10.4000/tem.4661,2021-05-25 11:12:30,2018-12-20,2018,1954-4863,http://creativecommons.org/licenses/by-nc-nd/
False,"['0.shs', '0.shs', '1.shs.geo', '0.shs', '1.shs.envir']","['Environmental forms, from a theoretical perspective to concrete case studies in urban planning']",RUUKKU Studies in Artistic Research,University of the Arts (Finland),,"['Nathalie Blanc', 'Frédéric Barbe']",halshs-02185436,notice,ART,False,10.22501/ruu.371052,2019-07-16 16:10:05,2018-06-05,2018,2341-9687,
True,"['0.shs', '1.shs.geo']",['Des formes environnementales en aménagement urbain : d’une perspective théorique aux études de cas'],Crossways Journal,Crossways in Cultural Narratives (Erasmus Mundus),,"['Nathalie Blanc', 'Frédéric Barbe']",halshs-02189179,file,ART,False,,2019-07-23 15:41:08,2018,2018,,
False,"['0.shs', '1.shs.archeo']","[""The ‘Historiated’ Neolithic Stele of Saint-Samson-sur-Rance (Côtes-d'Armor, France)""]",Cambridge Archaeological Journal,Cambridge University Press (CUP),1474-0540,"['Serge Cassen', 'Valentin Grimaud', 'Laurent Lescop', 'Hervé Paitier', 'Carlos Rodríguez-Rellán', 'Armand Vincotte']",hal-01933083,notice,ART,False,10.1017/S0959774317000853,2018-11-23 15:08:57,2018-05,2018,0959-7743,
True,"['0.shs', '1.shs.archi', '0.spi', '1.spi.gciv', '2.spi.gciv.cd']",['A pavement-watering thermal model for SOLENE-microclimat: development and evaluation'],Urban Climate,Elsevier,,"['Marie-Hélène Azam', 'Jérémy Bernard', 'Benjamin Morille', 'Marjorie Musy', 'Hervé Andrieu']",hal-01790917,file,ART,True,10.1016/j.uclim.2018.04.005,2018-05-31 11:52:48,2018,2018,2212-0955,
True,"['0.info', '1.info.info-gr']","[""Voir l'invisible : de la vision par ordinateur aux réalités augmentée et Virtuelle""]",Revue Française d'Histotechnologie,Association française d'histotechnologie,,"['Guillaume Moreau', 'Jean-Marie Normand']",hal-01826891,file,ART,True,,2019-02-08 11:11:20,2018,2018,0997-6434,
