doi,title_x,halId
10.1016/j.ijthermalsci.2004.09.005,A numerical exercise for turbulent natural convection and pollutant diffusion in a two-dimensional partially partitioned cavity,hal-00285872
10.1051/meca:2004018,Applications of virtual reality in the manufacturing industry: From design review to ergonomic studies,hal-00783761
10.1016/j.solener.2005.06.015,Modeling the influence of vegetation and water pond on urban microclimate,hal-00285896
10.1145/2207216.2207220,Real-time adaptive blur for reducing eye strain in stereoscopic displays,hal-01015057
